user_id,login_time,ip_address,device_type
user_56,2024-08-26 00:00:00,192.168.1.47,tablet
user_62,2024-08-26 00:00:00,192.168.1.27,mobile
user_68,2024-08-26 00:00:00,192.168.1.19,tablet
user_9,2024-08-26 00:03:00,192.168.1.44,desktop
user_92,2024-08-26 00:13:00,192.168.1.18,tablet
user_74,2024-08-26 00:43:00,192.168.1.6,tablet
user_77,2024-08-26 01:00:00,192.168.1.41,tablet
user_35,2024-08-26 04:00:00,192.168.1.42,tablet
user_70,2024-08-26 04:00:00,192.168.1.41,mobile
user_91,2024-08-26 05:24:00,192.168.1.17,tablet
user_45,2024-08-26 05:25:00,192.168.1.42,desktop
user_42,2024-08-26 05:30:00,192.168.1.13,mobile
user_19,2024-08-26 06:32:00,192.168.1.11,desktop
user_13,2024-08-26 06:47:00,192.168.1.16,mobile
user_5,2024-08-26 07:00:00,192.168.1.12,desktop
user_88,2024-08-26 07:00:00,192.168.1.45,tablet
user_65,2024-08-26 07:00:00,192.168.1.10,tablet
user_52,2024-08-26 07:08:00,45.242.90.74,tablet
user_59,2024-08-26 07:54:00,203.226.185.254,mobile
user_73,2024-08-26 08:00:00,192.168.1.25,desktop
user_16,2024-08-26 08:00:00,192.168.1.6,desktop
user_97,2024-08-26 08:00:00,192.168.1.13,mobile
user_36,2024-08-26 08:01:00,192.168.1.19,mobile
user_72,2024-08-26 08:40:00,192.168.1.40,desktop
user_27,2024-08-26 08:55:00,192.168.1.40,tablet
user_98,2024-08-26 09:00:00,192.168.1.21,desktop
user_3,2024-08-26 09:02:00,192.168.1.37,tablet
user_21,2024-08-26 09:54:00,45.48.90.139,tablet
user_73,2024-08-26 10:00:00,192.168.1.3,mobile
user_14,2024-08-26 10:11:00,203.114.134.34,tablet
user_54,2024-08-26 10:19:00,192.168.1.1,tablet
user_54,2024-08-26 10:27:00,192.168.1.1,tablet
user_54,2024-08-26 10:31:00,192.168.1.1,tablet
user_54,2024-08-26 10:37:00,192.168.1.1,tablet
user_54,2024-08-26 10:41:00,192.168.1.1,tablet
user_19,2024-08-26 11:25:00,185.157.203.38,mobile
user_9,2024-08-26 11:25:00,192.168.1.19,tablet
user_95,2024-08-26 11:51:00,192.168.1.21,desktop
user_16,2024-08-26 12:00:00,192.168.1.21,mobile
user_27,2024-08-26 12:20:00,192.168.1.40,desktop
user_48,2024-08-26 12:22:00,192.168.1.35,tablet
user_58,2024-08-26 12:37:00,192.168.1.40,desktop
user_9,2024-08-26 12:39:00,192.168.1.19,mobile
user_51,2024-08-26 12:56:00,185.135.48.251,desktop
